pprz,ff,fr
0,,
480,,
960,,
1440,,
1920,69,47
2400,93,67
2880,113,88
3360,127,105
3840,149,127
4320,173,144
4800,186,161
5280,199,177
5760,218,196
6240,238,209
6720,255,226
7200,268,239
7680,283,254
8160,296,271
8640,313,288
9120,323,301
9600,340,318
